concept_term	aliases_seen	one_line_definition	doc_slug
Reflection coefficient	R	Ratio of reflected wave amplitude to incident wave amplitude at an interface; depends on acoustic impedance mismatch and interface conditions	stamina-white-paper-v7
Reflection coefficient	R	Ratio of reflected wave amplitude to incident wave amplitude at an interface; depends on acoustic impedance mismatch and interface conditions	schirru-phd-ultrasonic-viscosity-journal-bearing
Piezoelectric transducer	PZT; piezoelectric element; piezo element	Device that converts electrical signals to mechanical (ultrasonic) vibration or vice versa, based on the piezoelectric effect	schirru-phd-ultrasonic-viscosity-journal-bearing
Piezoelectric transducer	PZT; piezoelectric element; piezo element	Device that converts electrical signals to mechanical (ultrasonic) vibration or vice versa, based on the piezoelectric effect	piezo-material-properties-literature-review
Piezoelectric transducer	PZT; piezoelectric element; piezo element	Device that converts electrical signals to mechanical (ultrasonic) vibration or vice versa, based on the piezoelectric effect	cr-xli-nonlinear-ultrasound-slides
Cylinder bore distortion	Bore out-of-roundness; liner distortion	Deviation of a cylinder liner's cross-section from a perfect circle, described by Fourier harmonic orders; causes increased oil consumption and friction losses	shah-meng-cylinder-bore-distortion
Resonant frequency	f_s; resonant mode frequency; standing wave frequency	Frequency at which a structure's reflected waves constructively interfere to form a standing wave of maximum amplitude	stamina-white-paper-v7
Resonant frequency	f_s; resonant mode frequency; standing wave frequency	Frequency at which a structure's reflected waves constructively interfere to form a standing wave of maximum amplitude	stamina-vs-pe-comparison
Matching layer	Acoustic matching layer	Intermediate material layer between transducer/component and target medium, chosen to reduce impedance mismatch and improve measurement sensitivity	stamina-report-fornasieri-husson-geroudet
Matching layer	Acoustic matching layer	Intermediate material layer between transducer/component and target medium, chosen to reduce impedance mismatch and improve measurement sensitivity	stamina-white-paper-v7
Coulomb friction	Coulomb's law of friction; kinetic friction coefficient	Classical friction model where maximum shear stress at an interface equals μ × normal stress (μ = friction coefficient)	li-phd-friction-nonlinear-ultrasound
Journal bearing	Hydrodynamic journal bearing	Sliding bearing where a rotating shaft is separated from its housing by a pressurised oil film; key tribological component in engines	schirru-phd-ultrasonic-viscosity-journal-bearing
Hard PZT	Hard piezoelectric ceramic	PZT formulation with low domain mobility, high Q_m, and low dielectric loss; preferred for high-power ultrasonic applications and resonant mode operation	piezo-material-properties-literature-review
Soft PZT	Soft piezoelectric ceramic	PZT formulation with high domain mobility, large d33 and coupling factor; preferred for sensors, actuators and low-power applications	piezo-material-properties-literature-review
Curie temperature	T_c	Temperature above which a ferroelectric material loses its spontaneous polarization and ceases to be piezoelectric; sets the maximum operating temperature	piezo-material-properties-literature-review
Finite element analysis	FEA; ANSYS simulation	Numerical method for structural/thermal analysis that discretises a geometry into elements; used here to validate ultrasonic distortion measurements	shah-meng-cylinder-bore-distortion
Fast Fourier Transform	FFT	Algorithm converting a time-domain signal to frequency domain; used to identify harmonic components in nonlinear ultrasonic measurements	li-phd-friction-nonlinear-ultrasound
Fast Fourier Transform	FFT	Algorithm converting a time-domain signal to frequency domain; used to identify harmonic components in nonlinear ultrasonic measurements	cr-xli-nonlinear-ultrasound-slides
