concept_term	aliases_seen	one_line_definition	doc_slug
reflection coefficient	Rf	Ratio of reflected to incident pressure amplitude at an acoustic interface; +1 for rigid (hard) boundary, −1 for stress-free (pressure-release) boundary.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
quasilinear approximation	quasilinear theory	Perturbative approach to nonlinear acoustics in which the second harmonic is treated as a small perturbation driven by the squared fundamental field.	pulse-echo-nonlinearity-focused-transducers-zhang-2017
Rayleigh distance	near-field length, transition distance	The axial distance ka²/2 at which the on-axis pressure of a circular piston transducer is maximum and beyond which the beam diverges; transition between near-field and far-field.	focusing-of-ultrasound-beams-gohari
F-number (FN)	f-number, focal ratio	The ratio of focal length F to transducer diameter 2a; determines lateral beamwidth and depth of focus — larger FN yields wider beam but longer depth of focus.	focusing-of-ultrasound-beams-gohari
depth of focus	focal depth, depth of field (acoustic)	The axial range around the focal point over which the beam intensity remains within a specified dB drop (e.g., 6 dB); proportional to λ·FN².	focusing-of-ultrasound-beams-gohari
Bessel beam	limited diffraction beam, nondiffracting beam	An exact solution to the wave equation with a radial Bessel function profile; theoretically nondiffracting (infinite depth of field) over an infinite aperture.	focusing-of-ultrasound-beams-gohari
scaling factor α	Bessel beam alpha parameter	The radial wave number parameter in a Bessel beam (J_n(αr)) that controls lateral beam width; smaller α gives wider beam and longer depth of field.	focusing-of-ultrasound-beams-gohari
annular array transducer	ring array	A transducer composed of concentric ring-shaped elements that enables electronic focusing in all transverse directions symmetrically.	focusing-of-ultrasound-beams-gohari
bowtie limited diffraction beam	bowtie Bessel beam	A family of limited diffraction beams formed by taking transverse spatial derivatives of a Bessel beam; exhibits angle-dependent sidelobes that can be made very low without reducing frame rate.	focusing-of-ultrasound-beams-gohari
summation-subtraction method	sub-subtraction sidelobe reduction	A technique that combines zeroth- and second-order Bessel beam scan-lines to reduce sidelobes by ~6 dB, at the cost of reducing frame rate to one-third.	focusing-of-ultrasound-beams-gohari
apodization	aperture weighting, Hanning weighting	The application of a non-uniform amplitude weighting across a transducer aperture to suppress sidelobes at the cost of widening the main lobe.	focusing-of-ultrasound-beams-gohari
superposition of CW beams	Fourier synthesis of pulses	Method of computing pulsed transducer fields by decomposing the pulse into frequency components, computing each CW beam separately, and summing with appropriate spectral weights.	field-patterns-pulsed-focused-radiators-goodsitt-1982
tissue-mimicking (TM) phantom	TM material, acoustic phantom	A laboratory material (e.g., gelatin + graphite particles) designed to replicate the acoustic properties of soft tissue, including frequency-dependent attenuation (~1.32 dB/cm/MHz).	field-patterns-pulsed-focused-radiators-goodsitt-1982
hydrophone-modified spectral content H(ω)	spectral weighting function	The product of pulse spectral amplitude and hydrophone force-to-voltage transfer function; the practical quantity used to compute predicted hydrophone waveforms from transducer beam theory.	field-patterns-pulsed-focused-radiators-goodsitt-1982
Kramers–Kronig relation	dispersion relation	The mathematical relationship linking frequency-dependent acoustic attenuation to frequency-dependent phase velocity; enforces causality in attenuating media.	field-patterns-pulsed-focused-radiators-goodsitt-1982
edge waves	diffracted edge waves	Secondary wavefronts originating from the rim of a piston transducer at the onset of transmission; arrive after the direct (plane) wave and can interfere with it.	field-patterns-pulsed-focused-radiators-goodsitt-1982
PMMA (Plexiglas)	polymethylmethacrylate, acrylic, perspex	A synthetic polymer with longitudinal bulk wave velocity ~2820 m/s and acoustic impedance ~3.3×10⁵ g/cm²/s; the preferred material for early ultrasonic lenses.	ultrasonic-lenses-plastic-materials-sette-1949
plane-spherical lens	spherical acoustic lens	A plano-convex or plano-concave acoustic lens with one flat face (on the incident side) and one spherical face; achieves point focusing with ~100× concentration of sound power.	ultrasonic-lenses-plastic-materials-sette-1949
plane-cylindrical lens	cylindrical acoustic lens	A plano-curved acoustic lens with one flat face and one cylindrical face; achieves line focusing with ~10× concentration of sound power.	ultrasonic-lenses-plastic-materials-sette-1949
