concept_term	aliases_seen	one_line_definition	doc_slug
Neutral point	aerodynamic centre (whole aircraft)	The point on an aircraft about which the pitching moment is independent of angle of attack; its position relative to the CG determines static margin	aircraft-stability-and-control-carley
Static margin	Kn; stick-fixed static margin	Non-dimensional distance between centre of gravity and neutral point, measuring the degree of longitudinal static stability	aircraft-stability-and-control-carley
Hinge moment	hinge moment coefficient CH	The aerodynamic moment about a control surface hinge line; determines the stick force a pilot must exert to deflect the control surface	aircraft-stability-and-control-carley
Phugoid	phugoid mode; long-period oscillation	A lightly damped, long-period oscillation in aircraft speed and altitude at approximately constant angle of attack, driven by exchange of kinetic and potential energy	aircraft-stability-and-control-carley
Trim tab	tab; β (tab deflection)	A small auxiliary control surface that adjusts the hinge moment of a primary control surface without significantly changing its lift, used to reduce pilot stick forces	aircraft-stability-and-control-carley
Mach tuck	tuck under	A nose-down pitch change at high subsonic Mach numbers caused by rearward shift of the aerodynamic centre as compressibility effects move pressure distributions aft	aircraft-stability-and-control-carley
Dynamic stability	dynamic stability modes	The response of an aircraft over time following a perturbation; includes short-period, phugoid, Dutch roll, spiral, and roll modes	aircraft-stability-and-control-carley
Surface roughness Ra	CLA; arithmetic average roughness; AA	The arithmetic mean of absolute deviations of the surface height profile from its mean line, the most widely standardised roughness parameter	surface-roughness-analysis-bhushan
Rq (RMS roughness)	root mean square roughness; σ	Square root of the mean squared deviation of surface heights from the mean line; standard deviation of height distribution; σ ≈ 1.25 Ra for Gaussian surfaces	surface-roughness-analysis-bhushan
Skewness	Sk; third moment	Third standardised central moment of the surface height distribution; negative for surfaces with deep valleys, positive for surfaces with high peaks	surface-roughness-analysis-bhushan
Kurtosis	K; fourth moment	Fourth standardised central moment of surface heights; K = 3 for Gaussian; K > 3 (leptokurtic) indicates occasional very high asperities	surface-roughness-analysis-bhushan
Beilby layer	amorphous surface layer	A thin layer of microcrystalline or amorphous material formed on a solid surface during machining or forming, with different properties from the bulk	surface-roughness-analysis-bhushan
Fractal surface characterisation	fractal dimension	Description of surface topography using fractal (scale-invariant) statistics; provides scale-independent roughness descriptors unlike Ra or Rq	surface-roughness-analysis-bhushan
Phase-shifting interferometry	PSI; optical interferometry	Optical technique measuring surface height variations by analysing interference fringe phase shifts; vertical resolution < λ/100 (~5 nm for visible light)	surface-roughness-analysis-bhushan
White-light scanning interferometry	coherence-peak interferometry; vertical scanning interferometry	Optical profilometry technique measuring surface height from the position of maximum fringe contrast of a white-light interferogram; avoids height ambiguity of monochromatic interferometry	surface-roughness-analysis-bhushan
Angular distribution scattering	AD scattering; light scattering roughness measurement	Optical roughness measurement based on the angular distribution of scattered laser light; limited to smooth surfaces with σ << λ (typically σ < 0.1 µm)	surface-roughness-analysis-bhushan
Asperity	peak; summit	A local maximum in a surface height profile (peak in 2D, summit in 3D); the mechanical contact of asperities governs real contact area, friction, and wear	surface-roughness-analysis-bhushan
