concept_term	aliases_seen	one_line_definition	doc_slug
thyristor	SCR, silicon-controlled rectifier, triac	Latching semiconductor switch triggered by a gate pulse and extinguished only by reducing current below holding current	practical-electronics-for-inventors-scherz
RC time constant	tau, charging time	Product RC giving the characteristic time for exponential charge/discharge of a capacitor through a resistor	practical-electronics-for-inventors-scherz
Kirchhoff's laws	KVL, KCL	KVL: sum of voltages around any closed loop = 0; KCL: sum of currents at any node = 0	practical-electronics-for-inventors-scherz
negative feedback	closed-loop control	Feeding a portion of the output back to the inverting input of an amplifier to stabilise gain and reduce distortion	practical-electronics-for-inventors-scherz
resonance	LC resonance, resonant frequency	Frequency at which inductive and capacitive reactances cancel, giving maximum (series) or minimum (parallel) impedance	practical-electronics-for-inventors-scherz
stress	normal stress, shear stress	Force per unit area acting on a cross-section; normal stress perpendicular, shear stress parallel to the surface	intro-mechanical-engineering-part1-clifford
strain	deformation, elongation	Dimensionless measure of deformation: change in length divided by original length (normal strain) or angular change (shear strain)	intro-mechanical-engineering-part1-clifford
Young's modulus	elastic modulus, E	Ratio of normal stress to normal strain in the elastic region; measure of material stiffness	intro-mechanical-engineering-part1-clifford
second moment of area	moment of inertia of area, I	Geometric property of a cross-section governing bending stiffness; I = ∫y² dA	intro-mechanical-engineering-part1-clifford
bending stress	flexural stress	Normal stress in a beam cross-section due to bending moment: σ = My/I	intro-mechanical-engineering-part1-clifford
Mohr's circle	principal stress	Graphical method for finding principal stresses and maximum shear stress from a known 2D stress state	intro-mechanical-engineering-part1-clifford
torsion	twisting, torque	Twisting of a shaft by an applied torque; shear stress τ = Tr/J, where J is the polar second moment of area	intro-mechanical-engineering-part1-clifford
Bernoulli's equation	Bernoulli principle	Conservation of energy for ideal incompressible flow: p + ½ρv² + ρgh = constant along a streamline	intro-mechanical-engineering-part1-clifford
Reynolds number	Re	Dimensionless ratio of inertial to viscous forces in a flow: Re = ρvL/μ; governs laminar vs. turbulent transition	intro-mechanical-engineering-part1-clifford
first law of thermodynamics	energy conservation	Energy is conserved: change in internal energy = heat added minus work done by the system	intro-mechanical-engineering-part1-clifford
second law of thermodynamics	entropy, Carnot efficiency	Entropy of an isolated system cannot decrease; sets an upper limit on heat engine efficiency	intro-mechanical-engineering-part1-clifford
Carnot efficiency	ideal heat engine efficiency	Maximum possible efficiency of a heat engine: η = 1 − T_cold/T_hot	intro-mechanical-engineering-part1-clifford
moment of inertia	mass moment of inertia, I	Measure of a body's resistance to angular acceleration: I = ∫r² dm	intro-mechanical-engineering-part1-clifford
gear ratio	transmission ratio	Ratio of output to input angular velocity in a geared system; determines torque multiplication and speed reduction	intro-mechanical-engineering-part1-clifford
