concept_term	aliases_seen	one_line_definition	doc_slug
BeepBeep ranging	COTS FMCW acoustic ranging	Acoustic ranging method using commercial-off-the-shelf audio hardware (smartphones) with OFDM-like spread-spectrum signals; sub-mm accuracy	beepbeep-cots-acoustic-ranging
temperature compensation (ultrasonic)	acoustic thermometry correction	Correction of TOF-based range measurements for temperature-dependent sound speed variation; often uses separate temperature sensor or acoustic thermometer	temperature-compensated-ultrasonic-sensor
SAM (scanning acoustic microscopy)	acoustic microscopy	High-frequency (≥100 MHz) focused ultrasound imaging of materials for near-surface defect and microstructure characterisation	arakawa-2018-sam-impulsive-signal-design
wave phase conjugation	time-reversal, phase conjugator	Technique to generate a phase-conjugate replica of an acoustic wave; enables focusing back through scattering media; demonstrated in air at MHz frequencies	wave-phase-conjugation-air
haptic roughness via ultrasound	remote surface texture sensing, non-contact roughness feel	Remote detection and reproduction of surface roughness perception using airborne ultrasound pressure field distribution at 40 kHz	kamigaki-2015-haptic-roughness-ultrasound
ultrasonic diffraction (haptic)	far-field diffraction pattern	Spatial distribution of airborne ultrasound pressure around a rough surface used to infer roughness for remote haptic feedback	kamigaki-2015-haptic-roughness-ultrasound
surface metrology (ACU)	non-contact roughness measurement, ultrasonic surface texture	Measurement of surface topography parameters (Ra, Rq, Sa, Sq) using reflected or scattered ultrasonic signals without physical contact	robertson-2002-air-coupled-surface-metrology
Surface Modification Factor (SMF)	grinding wheel dressing indicator	Ratio of actual to expected ACU echo amplitude; drops as grinding wheel surface clogs or wears; used to trigger dressing operations	arunachalam-2011-grinding-wheel-acu
coating interface roughness (URCAS)	ultrasonic reflection coefficient amplitude spectrum	Method to characterise roughness at buried coating-substrate interface from frequency-dependent reflection coefficient; Ma 2017	ma-2017-coating-interface-roughness-urcas
paper roughness measurement (ACU)	airborne ultrasound paper texture	Non-contact measurement of paper rms roughness using 0.5–4 MHz airborne ultrasound; compared with Bendtsen and Parker-Printsurf air-leak methods	stor-pellinen-1995-paper-roughness-airborne
Bendtsen roughness	Parker-Printsurf roughness, air-leak roughness	Contact air-leak methods for paper roughness; measure macro-scale roughness under clamping pressure; weight roughness spectrum differently from ultrasonic method	stor-pellinen-1995-paper-roughness-airborne
focused transducer (ACU)	acoustic lens, focused beam	Transducer with acoustic lens or curved element concentrating beam to a small spot; reduces sensitivity to sample tilt and waviness; critical for paper measurements	stor-pellinen-1995-paper-roughness-airborne
standoff distance	air gap, working distance	Distance from transducer face to specimen surface in ACU; limited by α·d < SNR budget; typically 10–100 mm at 40–500 kHz	ultrasonic-sensors-in-air-review
Rayleigh smoothness criterion	acoustic smoothness, λ/8 criterion	Surface is acoustically smooth when Rq << λ/(8cosθ); for ACU at 1.8 MHz in air, λ ≈ 200 μm, so criterion is Rq << 25 μm	stor-pellinen-1995-paper-roughness-airborne
ultrasonic beam profile	pressure field distribution, transducer radiation pattern	Spatial distribution of acoustic pressure in the near and far field of a transducer; measured to characterise transducer performance and beam width	beam-profile-measurements-simulations-air
fan-beam tomography (ACU)	acoustic computed tomography	Reconstruction of 2D cross-section of object from fan-beam projections at multiple angles using airborne ultrasound	ultrasonic-imaging-fan-beam-tomography
volumetric sound field reconstruction	single-plane extrapolation, beam field calculation	Computation of 3D pressure field from measurements in a single plane using angular spectrum / Fourier propagation methods	sanabria-2018-volumetric-sound-field-acu
contactless energy transfer (ultrasound)	acoustic power transfer, wireless ultrasonic energy	Transmission of electrical power wirelessly through air using focused high-intensity ultrasound; demonstrated at small distances	contactless-energy-transfer-ultrasound
food industry ultrasonics	non-contact food inspection, ultrasonic food measurement	Application of contact and non-contact ultrasonics for quality control, thickness, and property measurement in food processing	khairi-2016-ultrasonic-food-industry-review
lateral displacement measurement (ACU)	shear displacement, tangential position sensing	Use of air-coupled ultrasound to measure lateral (non-axial) shift of a surface; Matsuya 2015 with sub-mm accuracy	lateral-displacement-measurement-air-coupled
movement detection (ACU)	micro-motion detection, behind-cloth detection	Detection of small displacements (μm-mm) of objects behind opaque barriers using airborne ultrasonic interference patterns	movement-detection-behind-cloth-ultrasound
shipping container verification (ACU)	cargo inspection, non-contact thickness check	Use of air-coupled TOF ultrasound to verify contents or wall thickness of sealed shipping containers without contact	shipping-container-cargo-verification-tof
phased array (air-coupled)	electronic array scanning	Multi-element ultrasonic array operated with phase delays for beam steering or focusing in air; used for ACU imaging and roughness mapping	sanabria-2018-volumetric-sound-field-acu
NDE (non-destructive evaluation)	NDT, non-destructive testing	Inspection of materials for defects or property measurement without causing damage; ACU enables NDE without couplant	grandia-and-fortunko-1995	nde-applications-air-coupled-transducers
Lamb waves (air-coupled generation)	guided plate waves, air-excited Lamb modes	Elastic plate waves excited by oblique air-coupled ultrasound at the appropriate phase-matching angle; used for plate inspection	air-coupled-nde-750khz-2mhz
multi-frequency ranging	multi-tone TOF, frequency-diverse ranging	Use of multiple ultrasonic frequencies to resolve range ambiguity and improve accuracy; higher frequencies give finer resolution, lower frequencies give longer range	multi-frequency-ultrasonic-ranging
multifrequency AM ranging	amplitude-modulated multi-tone, synthetic wavelength	TOF measurement using amplitude-modulated multi-frequency signal to create long synthetic wavelength while maintaining fine range resolution	multifrequency-am-ultrasonic-ranging
reflectometry (ACU)	ultrasonic reflectometry, pulse-echo reflectometry	Measurement of surface properties from the amplitude of normal-incidence reflected pulse; sensitive to roughness and impedance	ultrasonic-reflectometry-errors-sample-positioning
sample positioning error (ACU)	tilt error, alignment error	Error in ACU roughness or reflectometry measurement caused by angular misalignment or lateral offset of sample; quantified in Kaczmarek 2015	ultrasonic-reflectometry-errors-sample-positioning
surface step characterisation	step height measurement, discrete roughness	Measurement of height of discrete surface steps or grooves using ultrasonic angular echo distribution; Kudo 2006/2007	kudo-2006-angular-echo-frequency-domain
presence sensor (ultrasonic)	proximity sensor, object detection	Short-range air-coupled sensor for detecting presence or proximity of objects; Magori & Walker 1987 type using pulse-echo TOF	ultrasonic-presence-sensors-wide-range
robot positioning (ultrasonic)	robotic arm guidance, ultrasonic localisation	Use of multiple ultrasonic TOF measurements to determine 3D position of robot end-effector or target; Marioli 1988	ultrasonic-distance-measurement-linear-angular
acoustic RH sensor	ultrasonic humidity sensor, acoustic hygrometer	Sensor that infers relative humidity from measured sound speed (TOF) and temperature; van Schaik 2010, Kon 2010	high-accuracy-acoustic-relative-humidity
air temperature fluctuations	indoor temperature turbulence, HVAC thermal plumes	Temporal and spatial variations of air temperature in occupied rooms; relevant for ACU TOF accuracy and draught sensation modelling	air-temperature-fluctuations-rooms
profiling inclined surfaces (ACU)	high-angle surface mapping, TOF surface profile	Reconstruction of surface profile (including steep angles up to ~70°) from multiple TOF measurements at various beam angles	profiling-high-angle-surfaces-tof
Neubauer summation formula	diffuse reflection from irregular bodies	Approximate formula for total scattered power from randomly rough surfaces summing contributions from independent facets; Neubauer 1963	neubauer-reflection-summation-irregular
KZK / MGB model (nonlinear)	Khokhlov-Zabolotskaya-Kuznetsov, nonlinear focused beam model	Nonlinear propagation model accounting for diffraction, absorption, and nonlinear distortion in focused ultrasonic beams; pulse-echo amplitude errors at high drive levels	pulse-echo-nonlinearity-focused-transducer
surface topology (ultrasonic imaging)	surface profile reconstruction, B-scan surface mapping	Extraction of 3D or 2D surface topography from time-of-flight map of reflected ultrasonic pulses	surface-topology-signal-processing-ultrasonic
surface texture coefficient (ST)	3D rms surface texture parameter	3D rms roughness parameter derived from 2D spectral matching of broadband ultrasonic reflection; Gunarathne 2000	gunarathne-2000-surface-texture-ultrasound
in-process roughness monitoring	on-machine measurement, real-time NDT	Measurement of surface roughness during active machining (grinding, turning) without stopping the process; Shin 1995 CNC demo	shin-1995-roughness-ultrasonic-inprocess
1-3 composite transducer (ACU NDE)	air-coupled 1-3 composite	Application of 1-3 piezocomposite transducers to air-coupled surface metrology; 1–5 MHz range; Gomez-Ullate 2004	air-coupled-metrology-material-surfaces
cylindrical focusing (ACU)	line focus transducer	ACU transducer with cylindrical lens producing a line focus rather than a point focus; useful for elongated inspection regions	gomez-2017-cylindrical-focused-acu
sectorized array (ACU)	annular sector array, endoscopy transducer	Array transducer with sectorized elements enabling both air-coupled and water-immersion operation; designed for industrial/medical endoscopy applications	gomez-2017-sectorized-array-endoscopy
passive focusing (ACU)	acoustic lens focusing, gradient-index lens	Focusing of air-coupled ultrasound beam using passive acoustic lens without active array elements; Gomez 2016	gomez-2016-passive-focusing-acu
fingertip sensor (robotic)	bimodal proximity-contact sensor, robotic touch	Combined ultrasonic proximity and contact force sensor on robotic fingertip enabling non-contact material recognition before grasping	fingertip-noncontact-material-recognition
