concept_term	aliases_seen	one_line_definition	doc_slug
circular piston transducer	piston source	Idealised model of a flat circular radiating element oscillating with uniform velocity; foundation for near-field beam calculations	zemanek-1971-nearfield-vibrating-piston; kelly-2003-nearfield-pressure-calculations; zeng-mcgough-2008-angular-spectrum
angular spectrum approach	ASA; plane-wave decomposition	Method decomposing a transducer's radiated field into a superposition of plane waves, propagated individually and reassembled	zeng-mcgough-2008-angular-spectrum; schmerr-sedov-1992-near-field-model
spectral propagator	FFT-based angular spectrum	Angular spectrum implementation using 2D FFT; fast but susceptible to aliasing near the evanescent boundary	zeng-mcgough-2008-angular-spectrum
spatial propagator	spatial convolution ASA	Angular spectrum implementation via direct spatial convolution; more accurate in central region but slower	zeng-mcgough-2008-angular-spectrum
T-matrix method	transition matrix	Scattering framework relating incident plane-wave expansion to scattered field; used in near-field measurement model	schmerr-sedov-1992-near-field-model
stationary phase approximation	SPA	High-frequency asymptotic evaluation of oscillatory integrals by expanding phase around stationary points	schmerr-sedov-1992-near-field-model
Thompson-Gray measurement model	far-field model	Standard far-field pulse-echo ultrasonic measurement model relating received voltage to far-field scattering amplitude	schmerr-sedov-1992-near-field-model
Impact-Echo (IE) method	IE testing	NDT method for concrete plate thickness using thickness resonance frequency of impact-generated waves (S1-ZGV mode)	baggens-2015-impact-echo-near-field
S1-ZGV mode	zero group velocity mode; thickness resonance	First symmetric Lamb mode at its zero-group-velocity frequency; peak in frequency spectrum used for IE thickness estimation	baggens-2015-impact-echo-near-field
MASW	Multichannel Analysis of Surface Waves	Seismic/NDT method extracting shear-wave velocity profile from multichannel surface-wave recordings	baggens-2015-impact-echo-near-field
Lamb wave	plate wave	Guided elastic wave in a plate; symmetric (S) and antisymmetric (A) modes; foundation for IE and MASW thickness methods	baggens-2015-impact-echo-near-field
transient diffraction effects	diffraction time delay; diffraction phase delay	Phase/time delay imposed on a received ultrasonic signal by beam diffraction; varies with path length, frequency, and transducer size	lunde-2003-transient-diffraction-flow-meters; papadakis-1967-pulse-echo-overlap
ultrasonic flow meter (USM)	transit-time flow meter	Instrument measuring gas/liquid flow velocity from differential transit times of upstream/downstream ultrasonic pulses	lunde-2003-transient-diffraction-flow-meters
velocity of sound (VOS) measurement	speed of sound	Measured absolute sound speed in a fluid; used in USMs for mass/energy flow and density determination	lunde-2003-transient-diffraction-flow-meters
dry calibration	transducer time-delay calibration	Pre-installation calibration of USM transducer time delays without flowing medium present	lunde-2003-transient-diffraction-flow-meters
capacitive displacement sensor	capacitance sensor; CS	Non-contact sensor based on C = ε₀εᵣA/d; measures displacement from capacitance change; sub-nm resolution with guard rings	nihtianov-2014-capacitive-eddy-current-nanodisplacement
guard rings	guard electrode	Concentric electrode at same potential as sensing electrode, eliminating fringe fields for linear 1D capacitive sensing	nihtianov-2014-capacitive-eddy-current-nanodisplacement
eddy-current sensor (ECS)	eddy current displacement sensor	Non-contact sensor exciting eddy currents in a conductive target; coil impedance change encodes distance; penetration depth δ = √(ρ/πfμ)	nihtianov-2014-capacitive-eddy-current-nanodisplacement; yu-yating-2008-eddy-current-curvature
skin depth	penetration depth (ECS)	Depth to which eddy currents penetrate a conductor, δ = √(ρ/πfμ); decreases with increasing frequency	nihtianov-2014-capacitive-eddy-current-nanodisplacement
capacitance-to-digital converter (CDC)	sigma-delta CDC; charge-balancing CDC	Interface IC converting capacitance to digital output; charge-balancing Σ-Δ type achieves 17-bit at 20 µs, 2.2 pJ/bit FOM	nihtianov-2014-capacitive-eddy-current-nanodisplacement
surface curvature effect (ECS)	curvature correction	Change in eddy-current coil impedance due to curved target surface; negligible when R_surface/R_coil > 15 (convex) or 30 (concave)	yu-yating-2008-eddy-current-curvature
error separation method	multi-step method; reversal method	Metrology technique separating machine (spindle) errors from artefact form errors using multiple measurements and mathematical combination	vissiere-2012-cylinder-measuring-machine; neugebauer-1997-cylinder-sphere-comparator
Abbe principle	Abbe condition	Requirement that the measurement scale be collinear with the measured displacement to avoid cosine errors	neugebauer-1997-cylinder-sphere-comparator
Zerodur	low-expansion glass ceramic	Low thermal expansion glass-ceramic material used for dimensional reference artefacts and mirrors	neugebauer-1997-cylinder-sphere-comparator
laser interferometer	interferometric displacement	High-resolution length measurement based on optical interference; ~1 nm resolution in precision CMMs and comparators	neugebauer-1997-cylinder-sphere-comparator
magnetic sensor technologies	magnetometer types	Eleven technologies: search coil, flux-gate, optically pumped, nuclear precession, SQUID, Hall-effect, magnetoresistive, magnetodiode, magnetotransistor, fiber optic, magneto-optic	lenz-1990-review-magnetic-sensors
SQUID	superconducting quantum interference device	Most sensitive magnetic sensor (~10⁻¹⁴ T); operates at cryogenic temperatures; used for measuring very weak fields	lenz-1990-review-magnetic-sensors
magnetoresistive sensor	MR sensor; Permalloy sensor	Sensor using change in resistance of Permalloy thin film in a magnetic field; range 10⁻⁷–50 G; IC-compatible; DC to ~1 GHz	lenz-1990-review-magnetic-sensors
Hall-effect sensor	Hall sensor	Sensor producing voltage proportional to magnetic flux through a semiconductor; 10⁻³–10³ G; DC to 1 MHz	lenz-1990-review-magnetic-sensors
pneumatic proximity sensor	air jet sensor; air proximity	Non-contact sensor using back-pressure or flow change of an air jet impinging on a target to indicate proximity	shimizu-1996-pneumatic-proximity-swirling-jet; airproximity-okeefe
swirling jet	swirl chamber	Pneumatic sensor nozzle modification adding a swirl chamber to extend jet attachment range and increase output pressure	shimizu-1996-pneumatic-proximity-swirling-jet
liquid foam acoustics	foam ultrasound characterisation	Measurement of complex wavenumber in liquid foams via air-coupled ultrasound; reveals bubble size and dispersion	pierre-2012-ultrasound-liquid-foams
Wood's law	Wood-Beattie equation	Low-frequency effective-medium limit for sound speed in a bubbly liquid: velocity collapses toward ~25 m/s for void fractions >0.5%	pierre-2012-ultrasound-liquid-foams
air-coupled ultrasonic transducer	capacitance transducer (air)	Transducer operating in air without liquid couplant; capacitance type used for foam characterisation at 60–600 kHz	pierre-2012-ultrasound-liquid-foams
optical distance measurement	optical ranging	Non-contact ranging using light; methods include interferometry, triangulation, TOF, confocal chromatic, white-light interferometry	berkovic-2012-optical-distance-displacement
white-light interferometry	coherence gating interferometry	Optical surface profiling using short-coherence light to gate depth by coherence peak position; ~nm resolution	berkovic-2012-optical-distance-displacement
laser triangulation	optical triangulation	Non-contact displacement using position of reflected laser spot on detector; µm–mm resolution over mm–m range	berkovic-2012-optical-distance-displacement
focusing (transducer)	focal zone	Acoustic focusing of a transducer beam; modes: FPF (flat plate focus), PTF (point target focus), OLF (optical limit); max focal length = 0.8N	olympus-transducers-technical-notes
acoustic impedance	Z = ρc	Product of material density and sound speed; governs reflection/transmission at interfaces	olympus-transducers-technical-notes
