concept_term	aliases_seen	one_line_definition	doc_slug
ultrasonic attenuation	acoustic attenuation, attenuation coefficient, alpha	The decrease in ultrasonic wave amplitude per unit path length, combining absorption and scattering losses.	darbari-1968-attenuation-carbon-stainless-steel; papadakis-1964-attenuation-velocity-steel-microstructures; tripathi-1973-attenuation-carbon-steel-temperature; gomez-1993-ultrasonic-creep-damage; scruby-1993-noncontact-laser-ultrasonics-steel; papadakis-1972-momentary-contact-attenuation; west-1958-ultrasound-nickel-single-crystal; bhatia-1960-attenuation-metals-low-temperatures
Rayleigh scattering	grain scattering	Scattering of ultrasonic waves by polycrystalline grains when grain diameter D ≪ wavelength λ; attenuation ∝ f⁴·D³.	darbari-1968-attenuation-carbon-stainless-steel; papadakis-1964-attenuation-velocity-steel-microstructures; tripathi-1973-attenuation-carbon-steel-temperature; gomez-1993-ultrasonic-creep-damage
shoulder technique	shouldered sample technique	High-temperature attenuation measurement method where the transducer is on a water-cooled shoulder of the sample, keeping it at room temperature while the test section is hot.	darbari-1968-attenuation-carbon-stainless-steel; tripathi-1973-attenuation-carbon-steel-temperature
laser ultrasonics	laser-generated ultrasound, photoacoustic ultrasonics	Non-contact method using a pulsed laser to generate ultrasound thermally and an interferometer or second laser to detect surface displacement.	matsumoto-2001-laser-ultrasonics-high-temp; dubois-2001-laser-ultrasonics-phase-transformations; dewhurst-1988-remote-laser-system-velocity; scruby-1993-noncontact-laser-ultrasonics-steel; hutchins-1989-noncontact-ultrasonic-aluminium; ihara-2011-2d-surface-temperature-laser; takahashi-2009-saw-surface-temperature; burrows-2014-emat-high-temperature
EMAT	electromagnetic acoustic transducer	Non-contact ultrasonic transducer that generates and detects waves via electromagnetic induction, without couplant; limited to Curie temperature on ferromagnetic steels.	burrows-2014-emat-high-temperature; hutchins-1989-noncontact-ultrasonic-aluminium
bismuth titanate	BIT, Bi4Ti3O12, bismuth titanate ceramic	Aurivillius-phase piezoelectric ceramic with Curie temperature ~675°C, used for high-temperature ultrasonic transducers.	ono-2006-ht-immersion-ultrasonic-probes; krsmanovic-2009-phd-bit-gas-flow; burrows-2012-bit-thickness-aip; burrows-2012-sol-gel-bit-rsc
sol-gel deposition	sol-gel process, chemical solution deposition	Film fabrication technique where a precursor solution is spin-coated and thermally pyrolysed to form a ceramic film; used to deposit BIT transducer films directly on substrates.	ono-2006-ht-immersion-ultrasonic-probes; burrows-2012-bit-thickness-aip; burrows-2012-sol-gel-bit-rsc; inoue-2013-ht-immersion-probe
lithium niobate	LiNbO3	Piezoelectric single crystal with Curie temperature ~1150°C; used for high-temperature ultrasonic transducers, especially in 36°Y-cut for longitudinal wave generation.	amini-2015-ht-transducer-linbo3; piezo-technologies-usage-temperatures
lead niobate	PbNb2O6, lead meta-niobate	Piezoelectric ceramic with Curie temperature ~570°C; used for moderate high-temperature immersion ultrasonic probes.	rehman-2001-ht-immersion-ultrasonic-probes; piezo-technologies-usage-temperatures
buffer rod	delay line, waveguide rod	An acoustic waveguide (often a metal or ceramic rod) used to isolate the transducer from a hot surface by introducing a thermal and acoustic delay.	chen-1999-polymer-extrusion-ultrasonic-temperature; rehman-2001-ht-immersion-ultrasonic-probes; wang-2013-waveguide-ceramic-honeycomb; amini-2015-ht-transducer-linbo3
clad buffer rod	cladded waveguide	A buffer rod with a dissimilar outer cladding (e.g., steel core + stainless steel sleeve) to suppress spurious modes and extend thermal range.	chen-1999-polymer-extrusion-ultrasonic-temperature; rehman-2001-ht-immersion-ultrasonic-probes
MACOR	machinable glass-ceramic	A machinable glass-ceramic (Corning) used as a high-temperature acoustic waveguide; usable above 1200°C with V_L ~5900 m/s.	wang-2013-waveguide-ceramic-honeycomb
d33 piezoelectric coefficient	piezoelectric charge constant	The piezoelectric coefficient relating electric charge developed per unit mechanical stress applied along the poling axis; key figure of merit for transducer sensitivity.	krsmanovic-2009-phd-bit-gas-flow; burrows-2012-bit-thickness-aip; burrows-2012-sol-gel-bit-rsc; weaver-2015-ht-piezoelectric-properties; piezo-technologies-usage-temperatures
maximum use temperature	T_max, maximum operating temperature	Practical upper temperature limit for a piezoelectric material, approximately half its Curie temperature (in °C), beyond which depoling becomes significant.	piezo-technologies-usage-temperatures; amini-2015-ht-transducer-linbo3; krsmanovic-2009-phd-bit-gas-flow
ultrasonic tomography	acoustic tomography, tomographic reconstruction	Reconstruction of internal property distribution (e.g., temperature, defect map) from multiple ultrasonic path integral measurements through the object.	wadley-1986-ultrasonic-internal-temperature; wei-2020-2d-temperature-reconstruction
conjugate gradient method	iterative minimisation, inverse problem solver	Iterative optimisation algorithm used to solve the inverse problem of reconstructing 2D temperature fields from measured ultrasonic transit times.	wei-2020-2d-temperature-reconstruction
Fermat principle	ray bending, Fermat's principle of least time	Principle stating ultrasonic rays follow paths of minimum travel time; in non-uniform temperature fields, rays bend toward lower-velocity (lower-temperature) regions.	wei-2020-2d-temperature-reconstruction
grain size	grain diameter, effective grain size	Characteristic linear dimension of polycrystalline grains; determines the Rayleigh scattering attenuation coefficient via α ∝ f⁴·D³.	papadakis-1964-attenuation-velocity-steel-microstructures; darbari-1968-attenuation-carbon-stainless-steel
sigma phase	FeCr sigma phase	A brittle intermetallic phase (FeCr) that forms in austenitic stainless steels above ~800°C; causes permanently elevated ultrasonic attenuation.	darbari-1968-attenuation-carbon-stainless-steel
pearlite	pearlitic steel	A lamellar microstructure of alternating ferrite and cementite; highest ultrasonic attenuation among common steel microstructures due to large effective scatterer size.	papadakis-1964-attenuation-velocity-steel-microstructures
martensite	martensitic steel	A diffusionless transformation product (BCC-tetragonal) in rapidly quenched steel; lowest attenuation, highest acoustic velocity after tempering.	papadakis-1964-attenuation-velocity-steel-microstructures
bainite	bainitic steel	An intermediate transformation product in steel formed between pearlite and martensite temperature ranges; intermediate attenuation and velocity.	papadakis-1964-attenuation-velocity-steel-microstructures
thermal expansion correction	path length correction	Correction applied to ultrasonic transit times to account for the change in sample physical length due to thermal expansion, necessary for accurate V(T) inversion.	matsumoto-2001-laser-ultrasonics-high-temp
temperature compensation (SHM)	thermal compensation, baseline correction	Methods applied in guided-wave SHM to remove the effect of temperature change on recorded signals, preventing temperature-induced false alarms.	konstantinidis-2007-temperature-stability-shm; croxford-2010-temperature-compensation-shm
Optimal Baseline Selection	OBS	SHM temperature compensation technique that selects from a pre-stored library the baseline signal recorded nearest to the current monitoring temperature.	konstantinidis-2007-temperature-stability-shm; croxford-2010-temperature-compensation-shm
Baseline Signal Stretch	BSS	SHM temperature compensation technique that stretches the time axis of a reference baseline to match velocity changes caused by temperature variation.	croxford-2010-temperature-compensation-shm
guided waves	Lamb waves, plate waves	Ultrasonic waves propagating in thin plates or shells with dispersion characteristics dependent on frequency-thickness product; used in SHM.	konstantinidis-2007-temperature-stability-shm; croxford-2010-temperature-compensation-shm
creep damage	creep cavitation, creep life fraction	Accumulation of micro-voids and micro-cracks in metals under sustained high-temperature stress; detectable by ultrasonic attenuation increase.	gomez-1993-ultrasonic-creep-damage
2D temperature field reconstruction	temperature tomography, 2D temperature mapping	Reconstruction of a spatially resolved 2D temperature distribution inside or on the surface of a solid from transit-time measurements along multiple paths.	wei-2020-2d-temperature-reconstruction; wadley-1986-ultrasonic-internal-temperature; ihara-2011-2d-surface-temperature-laser
heat transfer coefficient	HTC, convective heat transfer coefficient	Parameter quantifying the rate of convective heat transfer between a fluid and a solid surface; characterised in Moreira 2019 review for quenching and cooling applications.	moreira-2019-heat-transfer-coefficient-review
Grüneisen parameter	Grüneisen constant	Thermodynamic parameter relating phonon frequency shift to volume change; derivable from elastic constants measured ultrasonically.	anderson-1959-equation-of-state-solids
vitreous silica	fused quartz, amorphous silica	Amorphous SiO₂ used as high-temperature optical and acoustic waveguide material; has anomalous positive velocity-temperature coefficient at cryogenic temperatures.	anderson-1959-equation-of-state-solids
magnetostrictive attenuation	magnetic attenuation, domain wall attenuation	Ultrasonic attenuation contribution arising from interaction of acoustic waves with magnetic domain walls in ferromagnetic materials; peaks near the Curie temperature.	darbari-1968-attenuation-carbon-stainless-steel; tripathi-1973-attenuation-carbon-steel-temperature; west-1958-ultrasound-nickel-single-crystal
Kalman filter	state estimation filter	Recursive Bayesian estimator used to smooth noisy sequential measurements; applied to ultrasonic TOF data for improved real-time temperature estimation.	chen-1999-polymer-extrusion-ultrasonic-temperature
Rexolite 1422	Rexolite, cross-linked polystyrene	A cross-linked polystyrene material with low attenuation used as an ultrasonic delay line; characterised for elevated temperature use up to 170°C.	cadot-2016-acoustic-characterization-temperature
PEEK	polyetheretherketone	High-performance thermoplastic polymer with better thermal stability than PMMA; characterised as an ultrasonic delay-line material at elevated temperatures.	carlson-2003-acoustic-properties-polymers; cadot-2016-acoustic-characterization-temperature
PMMA	polymethylmethacrylate, acrylic, Perspex	Common transparent polymer used as ultrasonic delay line; velocity strongly temperature-dependent.	carlson-2003-acoustic-properties-polymers
silicone rubber	silicone elastomer	Flexible polymer with very large negative dV/dT (~2.7 m/s/°C) making it highly sensitive for ultrasonic thermometry.	takahashi-ihara-2008-silicone-rubber-temperature
alumina	Al2O3, aluminium oxide	A sintered ceramic with V_L ~5950 m/s at room temperature; characterised for ultrasonic thermometry applications.	ihara-2011-sintered-materials-temperature
silicon carbide	SiC	High-stiffness ceramic measured by laser ultrasonics to 1600°C; has high V_L and good thermal stability.	matsumoto-2001-laser-ultrasonics-high-temp
gallium bonding	liquid metal bonding	Use of liquid gallium as a high-temperature acoustic couplant/bonding agent for attaching piezoelectric elements above the temperature limits of conventional solders.	krsmanovic-2009-phd-bit-gas-flow
GaPO4	gallium orthophosphate	High-temperature piezoelectric single crystal (Curie-point free to ~970°C); alternative to quartz for high-temperature SAW sensors.	schulz-1970-saw-velocity-quartz
ST-cut quartz	42.5-degree rotated Y-cut quartz	The standard quartz orientation used in SAW devices; has near-zero first-order temperature coefficient of SAW velocity near room temperature.	schulz-1970-saw-velocity-quartz
texture (crystallographic)	crystallographic texture, preferred orientation	Statistical orientation distribution of crystallites in a polycrystalline material; detectable by shear-wave birefringence in laser ultrasonic measurements.	dubois-2001-laser-ultrasonics-phase-transformations
Michelson interferometer	optical interferometer	Optical instrument using beam splitting and recombination to measure surface displacement from ultrasound; used for laser-ultrasonic detection.	dewhurst-1988-remote-laser-system-velocity
Fabry-Pérot interferometer	FPI, etalon	High-sensitivity optical interferometer used for detecting laser-ultrasonic signals on rough hot surfaces.	matsumoto-2001-laser-ultrasonics-high-temp; scruby-1993-noncontact-laser-ultrasonics-steel
