concept_term	aliases_seen	one_line_definition	doc_slug
ultrasonic measurement	ultrasonic oil film measurement; acoustic measurement; piezoelectric sensor	Non-invasive technique using ultrasound pulse-echo to measure lubricant film thickness between piston/ring and bore; employs reflection coefficient vs film thickness calibration	avan-mills-ultrasonic-imaging-ring-motored; dwyer-joyce-piston-skirt-ultrasonic-2006; mills-avan-measuring-lubricant-films-overview; mills-avan-piezo-sensors-fired-engine; mills-dwyer-joyce-skirt-film-2014; dwyer-joyce-measuring-oil-films-presentation; birring-kwun-ultrasonic-wear-measurement
AVL EXCITE PR	EXCITE Power Unit; ring-pack simulation	Commercial software for piston ring-pack dynamics and oil consumption simulation; does not natively include ring conformability to non-circular bores	kagnici-akalin-bore-distortion-oil-consumption-2014; selmani-delprete-bore-distortion-ringpack-blowby
CFD thermal analysis	conjugate heat transfer; CHT; coolant flow simulation	Computational fluid dynamics analysis of coolant flow and heat transfer in engine water jacket; provides temperature boundary conditions for structural FEA bore distortion analysis	manav-erpolat-ozdemir-intrabore-bore-distortion-2010; yang-li-yu-distortion-optimization-spectrum-2016; ghasemi-bore-distortion-cae-methodology-2012; shih-engine-knock-water-jacket
surface texturing	laser surface texturing; LST; micro-dimples; surface features	Deliberate introduction of micro-scale surface features (dimples, grooves) on liner or ring surfaces to improve lubrication and reduce friction	azmi-wan-mahmood-surface-texturing-piston-review-2020; soderfjall-3d-oil-control-ring-bore-distortion; mishra-piston-compression-ring-tribology-review-2014
Rk surface parameters	Rk; Rpk; Rvk; reduced peak height; reduced valley depth	ISO 13565 surface roughness parameters describing the core roughness depth (Rk), reduced peak height (Rpk), and reduced valley depth (Rvk) of a honed bore surface	mavrigian-bore-distortion-static-dynamic-2010; mccormick-hot-honing; mishra-piston-compression-ring-tribology-review-2014
piston ring tribology	ring-liner tribology; compression ring; oil control ring	Study of friction, wear, and lubrication between piston rings and cylinder liner; covers boundary, mixed, and hydrodynamic lubrication regimes across the engine stroke	andersson-piston-ring-tribology-survey; mishra-piston-compression-ring-tribology-review-2014; mishra-tribology-compression-ring-reversal; pachaiyappan-ring-geometries-friction-2019; sae-j2904-power-cylinder-friction-mechanisms; ye-xiaoming-3d-ring-liner-tribology-2003
hydrodynamic lubrication	EHL; EHD; elastohydrodynamic lubrication; oil film	Formation of a continuous lubricant film between ring/piston and bore under hydrodynamic pressure; prevents metal-to-metal contact	avan-spencer-ring-liner-contact; chong-cavitation-starvation; mishra-tribology-compression-ring-reversal; harigaya-oil-film-temperature-viscosity; mansouri-wong-piston-design-parameters; rahmani-liner-temperature-friction
bolt pretension	bolt preload; head bolt tightening; bolt torque	Clamping force applied to cylinder head bolts during assembly; calculated from tightening torque via torque coefficient K; primary mechanical driver of 4th-order bore distortion	mirajkar-kanase-chhapkhane-bore-distortion-ansys-2013; liang-wang-bore-deformation-static-fourier-2017; maassen-koch-bore-distortion-optimization-2001; patwardhan-paranjpe-bore-distortion-arai-2015; soua-touratier-polac-gasket-cylinder-distortion-1999
fired bore measurement	in-cylinder measurement; instrumented piston; Invar piston	Measurement of cylinder bore shape during actual engine operation using sensors embedded in a special piston; captures combined thermal + mechanical + combustion-pressure distortion	maassen-koch-bore-distortion-optimization-2001; koch-fahl-haas-fired-bore-measurement-1995; bird-gartside-federal-mogul-fired-bore-distortion-2002; fujimoto-goto-cylinder-bore-deformation-operating; iijima-sakurai-oil-consumption-bore-deformation-2009
CAE workflow	FEA workflow; simulation methodology; CAE methodology	Sequential or coupled CFD→thermal→structural FEA workflow for bore distortion prediction; includes gasket characterisation, bolt pretension, thermal loading, and post-processing with Fourier decomposition	ghasemi-bore-distortion-cae-methodology-2012; patwardhan-paranjpe-bore-distortion-arai-2015; manav-erpolat-ozdemir-intrabore-bore-distortion-2010; yang-li-yu-distortion-optimization-spectrum-2016; maassen-koch-bore-distortion-optimization-2001; barbieri-giacopini-ferrari-bore-distortion-simplified
water jacket design	coolant jacket; water jacket geometry; cooling system	Design of the cylinder block coolant passages; geometry affects both cooling efficiency and mechanical stiffness, both of which influence bore distortion	manav-erpolat-ozdemir-intrabore-bore-distortion-2010; yang-li-yu-distortion-optimization-spectrum-2016; shih-engine-knock-water-jacket; ghasemi-bore-distortion-cae-methodology-2012
liner wall thickness	liner thickness; cylinder liner design	Radial wall thickness of the cylinder liner; thicker liners reduce bore distortion transmission from block; diminishing returns above ~40% increase	maassen-koch-bore-distortion-optimization-2001; alshwawra-conical-liner-bore-distortion-2020; alshwawra-noncircular-liner-roundness-2019; gode-bore-distortion-fea-thesis; mohammed-gokhale-liner-bore-distortion-params
piston skirt lubrication	skirt-liner tribology; piston skirt film; skirt EHL	Lubrication between the piston skirt and cylinder liner; affected by piston secondary motion, oil supply, and temperature; measured ultrasonically or by LIF	dwyer-joyce-piston-skirt-ultrasonic-2006; mills-dwyer-joyce-skirt-film-2014; littlefair-tribol-lett-2014-piston-skirt-transient; littlefair-procimechepartj-2014-piston-skirt-thermoelastic; mansouri-wong-piston-design-parameters; ning-shear-thinning-piston-skirt
engine friction	piston assembly friction; mechanical friction; FMEP	Friction losses in the piston-ring-liner system; power cylinder assembly accounts for ~45% of total engine mechanical friction; reduced by surface texturing, lubricant optimisation, and bore shape control	holmberg-global-friction-energy; knauder-engine-friction-losses; sae-j2904-power-cylinder-friction-mechanisms; rahmani-liner-temperature-friction; pachaiyappan-ring-geometries-friction-2019
compacted graphite iron	CGI; vermicular graphite iron	Cast iron alloy with vermicular graphite morphology; intermediate thermal/mechanical properties between grey iron and ductile iron; used in diesel engine cylinder blocks for bore distortion resistance	manav-erpolat-ozdemir-intrabore-bore-distortion-2010; mohammed-gokhale-liner-bore-distortion-params
Taylor-Hobson Talyrond	Talyrond; surface form measurement; roundness measurement	Contact roundness measurement instrument from Taylor Hobson; outputs 2000-point circumferential radius-vs-angle data files used as input to bore analysis tools	gibbs-bore-analysis-tool-bat-2001; bird-gartside-federal-mogul-fired-bore-distortion-2002; fujimoto-goto-cylinder-bore-deformation-operating
KIVA combustion CFD	KIVA3; combustion simulation; in-cylinder CFD	Multi-dimensional CFD code for in-cylinder combustion and heat transfer simulation; used to generate thermal boundary conditions for piston ring/liner thermal analysis	kazmierczak-piston-ring-liner-kiva3-fea-2004
piston compliance matrix	piston elasticity; structural compliance; piston deformation	FEA-generated matrix relating contact forces at piston surface grid points to resulting piston deformations; enables elastic piston model within piston dynamics simulations	mcclure-tian-piston-secondary-motion-dry-model-2008; bai-piston-secondary-motion-mit
TiN coating	titanium nitride coating; hard coating; ring coating	Hard ceramic coating (TiN, ~3 µm) applied to piston ring sealing face to reduce wear and improve thermal resistance; increases ring temperature by 3–5°C compared to uncoated ring	kazmierczak-piston-ring-liner-kiva3-fea-2004; mishra-piston-compression-ring-tribology-review-2014
inertial oil flow	oil inertia effect; qi mechanism	Oil transport mechanism near TDC where gas pressure below second land exceeds combustion pressure, causing oil film inversion and oil entry into combustion chamber; dominant low-friction ring LOC mechanism	iijima-sakurai-oil-consumption-bore-deformation-2009; yamada-oil-consumption-cylinder-deformation
intrabore drilling	intra-bore water passage; drilled intrabore	Manufacturing modification replacing open water jacket sand core with drilled passages between cylinder bores; reduces manufacturing cost but creates stagnant coolant regions and worsens thermal bore distortion	manav-erpolat-ozdemir-intrabore-bore-distortion-2010
superelement technique	FEA substructure; Craig-Bampton reduction	FEA model reduction technique condensing a complex substructure into a reduced stiffness matrix; used by Soua et al. to reduce FEA model size while retaining local bore distortion accuracy	soua-touratier-polac-gasket-cylinder-distortion-1999
rotary piston method	split-piston bore measurement; rotatable crown measurement	Experimental technique for measuring cylinder bore deformation using a piston with a rotatable crown equipped with a clearance sensor; scans 360° by rotating the crown via external spindle	iijima-sakurai-oil-consumption-bore-deformation-2009; fujimoto-goto-cylinder-bore-deformation-operating
sulfur tracer oil consumption	SO2 tracer method; per-cylinder LOC	Oil consumption measurement technique injecting sulfur-doped oil and measuring SO2 concentration in individual cylinder exhaust; provides per-cylinder LOC data	iijima-sakurai-oil-consumption-bore-deformation-2009; yamada-oil-consumption-cylinder-deformation
Bore Analysis Tool (BAT)	BAT; bore shape analysis software	Excel-based tool (Paul Gibbs, Lotus 2001) for processing Talyrond bore measurement data through Gaussian filtering, FFT harmonic decomposition, and Tomanik ring conformability iteration to produce sealing percentage and gap area outputs	gibbs-bore-analysis-tool-bat-2001
cambore distortion	cambore; cam bore; main bearing bore distortion	Distortion of crankshaft main bearing bore and camshaft bore under assembly loads; analysed by the same Fourier decomposition methods as cylinder bore distortion	liu-winship-cambore-distortion-manufacturing; chen-adimi-ford-bore-distortion-oo-postprocessing
cavitation	oil film cavitation; gaseous cavitation; film rupture	Formation and collapse of vapour/gas cavities in the lubricant film under rapidly changing pressure; causes lubricant starvation and affects ring-liner friction and film thickness	chong-cavitation-starvation; mishra-tribology-compression-ring-reversal; avan-spencer-ring-liner-contact
tribofilm	tribochemical film; ZDDP tribofilm; boundary film	Thin chemically-reactive layer formed on metal surfaces by lubricant additives (e.g. ZDDP) under boundary lubrication conditions; reduces wear rate significantly	morina-tribofilms-boundary-lubrication; mishra-piston-compression-ring-tribology-review-2014
cylindrical shell vibration	circular cylinder vibration; shell frequencies	Natural frequency analysis of thin-walled cylindrical shells using Donnell or Flügge shell theory; relevant to liner vibration and noise under in-cylinder pressure excitation	dym-vibrations-circular-cylinders; tonin-bies-variable-thickness-cylinders; sivadas-ganesan-variable-thickness-cylindrical-shells
engine knock	detonation; knock; auto-ignition	Abnormal combustion caused by auto-ignition of end-gases ahead of the flame front; linked to cylinder temperature distribution and water jacket efficiency	shih-engine-knock-water-jacket
Gaussian filter	ISO 11562 filter; bore data filter	Low-pass filter applied to bore measurement data to remove high-frequency surface roughness while retaining form harmonics (orders 1–8); standardised in ISO 11562	gibbs-bore-analysis-tool-bat-2001; bird-gartside-federal-mogul-fired-bore-distortion-2002
