concept_term	aliases_seen	one_line_definition	doc_slug
Scattering coefficient	differential scattering cross-section; grain scattering	The fraction of ultrasonic energy from an incident wave scattered into a given direction by grain boundaries; stress-dependent in polycrystals.	kube-turner-2016-scattering
Differential scattering cross-section	nine scattering coefficients	The nine mode-specific scattering coefficients (L→L, L→T, T→L, T→T combinations) governing grain scattering amplitude in a stressed polycrystal.	kube-turner-2016-scattering
Nonlinear elasticity	acoustic nonlinearity; elastic nonlinearity	Departure from Hooke's law due to finite strain; characterized by third- (and higher-) order elastic constants; responsible for harmonic generation and acoustoelastic effects.	zarembo-krasilnikov-1971-nonlinear; hughes-kelly-1953
Acoustic harmonic generation	second harmonic generation; THG	Generation of overtone frequencies as a finite-amplitude wave propagates in a nonlinear medium; amplitude governed by TOE constants.	zarembo-krasilnikov-1971-nonlinear
Phonon-phonon interaction	nonlinear phonon interaction	Interaction between elastic wave quanta (phonons) due to lattice anharmonicity; describes the same physics as acoustic harmonic generation from a quantum perspective.	zarembo-krasilnikov-1971-nonlinear
Stress-dependent scattering	stress-sensitive backscatter	The dependence of ultrasonic scattering amplitude from grain boundaries on material stress state; more sensitive to stress than phase velocity changes.	kube-turner-2016-scattering
Iwashimizu-Kubomura theory	IK theory	Acoustoelastic birefringence theory for slightly orthotropic plates retaining anisotropy in second-order but not third-order moduli; gives one acoustoelastic constant.	clark-mignogna-1983-two-theories
Okada theory	Okada birefringence model	Acoustoelastic birefringence theory based on an optical refraction-index-matrix analogy; uses three acoustoelastic constants; empirically matches data well.	clark-mignogna-1983-two-theories
Bolt axial stress	bolt clamping force; fastener load	The tensile stress (or force) in a threaded fastener; measurable ultrasonically via TOF change or amplitude ratio of mode-converted signals.	xu-ding-2014-bolt-emat; kim-2008-mode-converted-bolt
Rolling bearing load	bearing contact force; raceway stress	The normal force transmitted from a rolling element to the raceway; measurable via acoustoelastic TOF change in the raceway material.	chen-mills-2015-bearing-tof
Christoffel equation (stressed)	acoustical tensor; generalized Christoffel	The wave propagation equation in a prestressed anisotropic medium; involves stress-dependent elastic constants in the generalized Christoffel tensor.	degtyar-rokhlin-1997-interface-stress
Fatigue monitoring	acoustic fatigue indicator; damage accumulation	Use of ultrasonic velocity or attenuation changes to track accumulated fatigue damage; velocity peak at ~20% lifetime and attenuation peak at ~20% are indicators.	erofeev-romashov-2004-dislocation-cyclic; serdobolskaya-2002-torsional-hysteresis
Cyclic torsional loading	torsional fatigue; cyclic shear stress	Repeated application of torsional stress; used in Serdobolskaya (2002) to study acoustic hysteresis; creates dislocation accumulation.	serdobolskaya-2002-torsional-hysteresis
Acoustic velocity hysteresis	butterfly hysteresis; irreversible velocity change	Non-recoverable change in ultrasonic wave velocity after plastic cycling; forms a characteristic butterfly-shaped loop on velocity-vs-stress diagram.	serdobolskaya-2002-torsional-hysteresis
Acoustic Reynolds number	Re = ρωu₀λ/η; nonlinear acoustic Mach parameter	Dimensionless ratio governing second-harmonic amplitude at stabilization distance; Re = ρωu₀λ/η where u₀ is displacement amplitude and η is effective viscosity; (u_x)_max/u₀ ~ Re.	zarembo-krasilnikov-1971-nonlinear
Stabilization distance	x_s; saturation distance	Distance at which the second acoustic harmonic reaches its maximum amplitude before dissipation dominates; x_s = ln2/2αᵢ where αᵢ is the longitudinal attenuation coefficient.	zarembo-krasilnikov-1971-nonlinear
Synchronous nonlinear interaction	phase-matched interaction; resonant nonlinear conversion	Three-wave acoustic interaction satisfying both energy (ω₁±ω₂=ω₃) and quasimomentum (k₁±k₂=k₃) conservation; leads to continuously growing combination-frequency wave.	zarembo-krasilnikov-1971-nonlinear
Non-synchronous nonlinear effect	non-phase-matched; modulated harmonic	Three-wave acoustic interaction NOT satisfying phase-matching; results in a spatially "amplitude-modulated" harmonic with period Δx = λᵢ/2(α−1) ~ λ_T; very small amplitude, no accumulation.	zarembo-krasilnikov-1971-nonlinear
Landau-Rumer theory	LR theory; phonon absorption theory	Theory (Landau & Rumer 1937) predicting absorption of high-frequency sound via three-phonon processes with thermal phonons; valid when λ_ac ≪ λ_ph; predicts αᵢ ~ ωT⁴ for transverse waves but underestimates longitudinal absorption.	zarembo-krasilnikov-1971-nonlinear
Akhiezer mechanism	Akhiezer phonon absorption	Ultrasound absorption mechanism (Akhiezer 1939) valid when λ_ac ≫ λ_ph; acoustic wave modulates thermal phonon equilibrium, which relaxes via phonon-phonon interactions; complements LR theory.	zarembo-krasilnikov-1971-nonlinear
Almost-collinear phonon interaction	near-collinear three-phonon process	Correction to LR theory (Maris 1963, Simons 1963) allowing longitudinal phonons to interact non-exactly collinearly due to finite phonon lifetime; resolves contradiction between LR prediction αᵢ ≪ αᵢ and experiment αᵢ ~ αᵢ.	zarembo-krasilnikov-1971-nonlinear
Bragg diffraction optical method	light diffraction by ultrasound; acoustic Bragg diffraction	Method of detecting acoustic harmonics by scanning a laser beam through a crystal at angles satisfying the Bragg condition sin θ_B = λ_light/2Λ_sound for each harmonic; avoids transducer calibration and Raman-Nath artefacts.	zarembo-krasilnikov-1971-nonlinear
Stimulated Mandel'shtam-Brillouin scattering	SMBS; stimulated Brillouin scattering	Generation of hypersound (~ 10¹⁰ Hz) by focused giant-pulse laser radiation via nonlinear light-matter interaction; at room temperature hypersound power too low for nonlinear effects; at helium temperature can drive sawtooth waveforms implicated in laser damage.	zarembo-krasilnikov-1971-nonlinear
Nonlinear acoustic modulation detection	acoustic detection; modulation nonlinearity method	Highly sensitive technique using amplitude-modulated carrier in a high-Q rod resonator; nonlinear elasticity separates the low modulation frequency Ω via acoustic detection; sensitivity Re ~ 0.05 achievable with Q ~ 10⁵.	zarembo-krasilnikov-1971-nonlinear
Brugger third-order elastic constants	C_ijk; Brugger notation	Third-order elastic constants defined by Brugger (1964) for crystals using full index notation C_{ij,pq,rs}; for cubic crystals (O, Oh, Th) only 6 independent constants; for triclinic crystals up to 56 independent constants.	zarembo-krasilnikov-1971-nonlinear
Five-constant elasticity theory	five-constant theory; second approximation elasticity	Truncation of the elastic energy expansion at third order, retaining the two Lamé constants (λ, μ) and three Murnaghan TOE constants (l, m, n); sufficient for second-harmonic generation and low-Reynolds-number nonlinear effects.	zarembo-krasilnikov-1971-nonlinear
