concept_term	aliases_seen	one_line_definition	doc_slug
floating backup ring	hydraulically force-balanced backup ring	Seal arrangement that floats laterally on the shaft to isolate the seal from runout and misalignment	kalsi-seals-shaft-deflection-runout
roundness	RONt, out-of-roundness	Deviation of a cross-sectional profile from a perfect circle; measured by the peak-to-valley departure from a reference circle	taylor-hobson-guide-to-roundness
undulations per revolution	upr, lobing	Frequency of surface irregularities per revolution; used to characterize roundness deviations by harmonic content	taylor-hobson-guide-to-roundness
least squares reference circle	LSCI, LSCY	Best-fit circle minimizing sum of squared deviations from measured profile; most commonly used reference for roundness	taylor-hobson-guide-to-roundness
rolling bearing	ball bearing, roller bearing	Bearing using rolling elements (balls or rollers) between inner and outer rings to reduce friction	fundamentals-bearings
preload (bearing)	bearing preload, bearing pre-load	Applied compressive force on bearing to eliminate internal clearance, increase stiffness, and reduce error motion	fundamentals-bearings
L10 bearing life	bearing fatigue life	Statistical life at which 10% of a population of bearings will have failed due to fatigue	fundamentals-bearings
contact angle	bearing contact angle	Angle between the line of action of the resultant bearing force and a plane perpendicular to the bearing axis	fundamentals-bearings
hydrostatic bearing	externally pressurized bearing, aerostatic bearing	Non-contact bearing using external fluid pressure to support load; operates at all speeds including zero	fundamentals-bearings
Geometric Dimensioning and Tolerancing	GD&T, GD and T	System of symbols and rules for defining and communicating engineering tolerances on drawings	asme-y14-5m-2004-dimensioning-tolerancing
Maximum Material Condition	MMC	Condition in which a feature contains the maximum amount of material within its stated limits	asme-y14-5m-2004-dimensioning-tolerancing
datum reference frame	DRF, three-plane datum	Three mutually perpendicular planes established from datum features to define part location/orientation	asme-y14-5m-2004-dimensioning-tolerancing
Rule 1 (Taylor Principle)	envelope principle, ASME Rule #1	ASME rule that a feature's surface must not extend beyond a perfect-form boundary at MMC	asme-y14-5m-2004-dimensioning-tolerancing
independency principle	ISO default form control	ISO approach in which form and size tolerances are independent; form errors may exceed size tolerance zone	differences-us-standards-krulikowski
GPS Masterplan	ISO TR 14638, Geometrical Product Specification	ISO framework organizing dimensional metrology standards into a matrix covering the product lifecycle	differences-us-standards-krulikowski
screw thread	Unified thread, metric thread, UNC, UNF, M-series	Helical inclined-plane mechanism providing clamping force, motion control, or power transmission	fastener-handout
class fit	thread fit class, 1A/2A/3A	Specification of how tightly mating thread pitch diameters mesh; class 1 (loose) to class 3 (tight)	fastener-handout
set screw	headless screw	Threaded fastener with no head, used to restrict motion of shaft-mounted components via point contact	fastener-handout
clearance fit	running fit, loose fit, slide fit	Assembly fit where the shaft is always smaller than the hole; positive clearance before assembly	unit-3-fit-tolerances
interference fit	force fit, press fit, shrink fit	Assembly fit where the shaft is larger than the hole; negative clearance requiring force or heat for assembly	unit-3-fit-tolerances
hole-basis system	hole basis	Fit system where the hole lower deviation = 0 (fixed hole) and shaft size is varied to achieve desired fit	unit-3-fit-tolerances
dynamic load rating	C, bearing load capacity	Load a bearing can theoretically carry for 1 million revolutions with 90% survival probability	nsk-rolling-bearing-catalog
bearing internal clearance	radial clearance, C2/CN/C3/C4/C5	Radial play between inner and outer rings before mounting; decreases under interference fit and thermal expansion	nsk-rolling-bearing-catalog
Young's modulus	E, elastic modulus, stiffness	Ratio of stress to strain in the elastic regime; measure of material stiffness	cambridge-materials-data-book
fracture toughness	K_IC, KIC, plane strain fracture toughness	Critical stress intensity factor at which a crack propagates unstably under plane strain conditions	cambridge-materials-data-book
Weibull modulus	m, Weibull parameter	Shape parameter of the Weibull distribution characterizing the scatter in failure strength of brittle materials	cambridge-materials-data-book
Paris crack growth law	Paris equation, da/dN = A(ΔK)^n	Power-law relationship between fatigue crack growth rate and stress intensity factor range	cambridge-materials-data-book
capability index	Cp, Cpk, process capability	Statistical measure of how well a manufacturing process meets specifications relative to its variation	capability-machining-systems-larsson
surface roughness	Ra, roughness average	Average deviation of surface profile from mean line; key parameter for sealing surfaces and bearing seats	surface-grinding-nsk
profile-rail linear guide	square rail, precision linear guide	Linear bearing system with ground ball-race tracks in a rectangular rail for high stiffness and accuracy	basics-linear-bearings-whitepaper
ball bushing	round-rail bearing, linear ball bearing	Rolling element linear bearing riding on a cylindrical shaft; compliant and self-aligning	basics-linear-bearings-whitepaper
effective bandwidth (DSO)	DSO bandwidth	Maximum frequency faithfully displayed by a digital oscilloscope; equals sample_rate / 2.5 for sinusoids	oscilloscope-tutorial
box averaging	hardware averaging	Signal processing technique averaging N successive DSO samples to improve S/N ratio by √N	oscilloscope-tutorial
Equivalent Time Sampling	ETS	DSO technique for repetitive signals shifting sample timing by picoseconds to achieve effective GHz sample rates	oscilloscope-tutorial
