concept_term	aliases_seen	one_line_definition	doc_slug
harmonic distortion	HD2, HD3	Distortion at harmonic frequencies; HD2 = a2·A/(2a1), HD3 = a3·A²/(4a1) for single-tone input	module13-distortion-analysis
intermodulation distortion	IM2, IM3	Distortion products at beat frequencies from two-tone input; IM3 at 2ω1−ω2 grows as A³	module13-distortion-analysis
1dB compression point	P-1dB	Input power where gain drops 1 dB below linear extrapolation; P_in,−1dB ≈ IIP3 − 9.6 dB	module14-distortion-metrics
IIP3	input third-order intercept point	Extrapolated input power where fundamental and IM3 product powers are equal; IIP3 = √(4a1/(3|a3|))	module14-distortion-metrics
IIP2	input second-order intercept point	Extrapolated input power where fundamental and IM2 product powers are equal; critical for direct-conversion receivers	module14-distortion-metrics
cascade IIP3		1/IIP3_total ≈ 1/IIP3_1 + G1/IIP3_2 + ...; later high-gain stages typically dominate	module14-distortion-metrics
desensitization	gain compression by blocker	Large out-of-band signal compresses LNA gain, reducing sensitivity for the wanted in-band signal	module14-distortion-metrics
feedback and distortion		Negative feedback reduces b2 by (1+T)³ and reduces b3; but second-order interaction 2a2²f term can cause distortion null	module15-effect-of-feedback-on-distortion
emitter degeneration	source degeneration	Series resistor (or inductor) at emitter/source; increases linearity and input impedance; reduces gain	module15-effect-of-feedback-on-distortion
frequency translation	downconversion, upconversion	Shifting signal spectrum from RF to IF (or vice versa) via multiplication by LO signal	module16-introduction-receivers-mixers
image frequency		Frequency that maps to the same IF as the desired signal; must be filtered or cancelled	module16-introduction-receivers-mixers
superheterodyne architecture	superhet	Receiver architecture with one or more IF stages; image-reject filter before first mixer; dominant classical receiver topology	module16-introduction-receivers-mixers
direct conversion	zero-IF, homodyne	Receiver architecture with LO = RF frequency; down-converts directly to DC; challenges: DC offset, 1/f noise, LO leakage	module16-introduction-receivers-mixers
Hartley mixer	image-reject mixer	I/Q mixer using 90° phase shift and summation to cancel image signal; IRR limited by I/Q mismatch	module16-introduction-receivers-mixers
image rejection ratio	IRR	Ratio of desired signal power to image signal power after mixing; IRR ≈ −10log[(δA/A)²+(δθ)²]/4	module16-introduction-receivers-mixers
Gilbert cell	double-balanced active mixer	Cross-coupled switching quad driven by LO commutating the RF gm stage current; conversion gain = (4/π)·gm·RL	module17-current-voltage-commutating-mixers
conversion gain	gc	Ratio of IF output amplitude to RF input amplitude for a mixer; gc = (2/π)·gm·RL (single-balanced)	module17-current-voltage-commutating-mixers
passive MOS mixer	passive mixer, ring mixer (MOS)	Mixer using MOS switches without DC bias; low 1/f noise, high IIP3, ~4 dB conversion loss	module17-current-voltage-commutating-mixers
N-path filter		Switched-capacitor filter using N clock phases; achieves high-Q bandpass response centered at LO frequency	module17-current-voltage-commutating-mixers
PSS/PAC/PNoise simulation	SpectreRF simulation	Cadence SpectreRF analyses for periodic circuits: periodic steady-state, periodic AC (conversion gain), periodic noise (mixer NF)	module17-current-voltage-commutating-mixers
FDD	frequency-division duplex	Duplex mode where TX and RX operate simultaneously on different frequencies; requires duplexer	module18-transmitters-system-level-specifications
TDD	time-division duplex	Duplex mode where TX and RX alternate in time slots; simpler RF hardware than FDD	module18-transmitters-system-level-specifications
PAPR	peak-to-average power ratio, PAR, crest factor	Ratio of peak to average power in a signal; high PAPR (e.g., OFDM) forces PA back-off, reducing efficiency	module18-transmitters-system-level-specifications
EVM	error vector magnitude	Measure of I/Q modulator accuracy; EVM = |error vector|/|ideal vector|; spec typically < −30 dB	module18-transmitters-system-level-specifications
adjacent channel power	ACP, ACPR	Power leaked into adjacent frequency channel due to PA nonlinearity; must meet transmit spectral mask	module18-transmitters-system-level-specifications
power added efficiency	PAE	PAE = (Pout−Pin)/PDC; overall efficiency metric for power amplifiers accounting for input power consumption	module19-power-amplifiers
optimum load resistance	Ropt	Load resistance that maximizes output power for given supply voltage; Ropt = VCC²/(2·Pout)	module19-power-amplifiers
bond wire inductance	LE, package inductance	Parasitic series inductance (~1 nH/mm) from bond wires; limits voltage swing and efficiency in RF PAs	module19-power-amplifiers
flip-chip packaging	bump bonding	PA packaging using solder bumps instead of bond wires; LE < 0.1 nH; required for >10 GHz designs	module19-power-amplifiers
Class A PA		Linear PA with 360° conduction angle; max efficiency 50% with inductive load	module20-abcs-of-pas
Class B PA		PA with 180° conduction angle using half-sinusoid current pulses; max efficiency π/4 ≈ 78.5%	module20-abcs-of-pas
Class AB PA		PA with conduction angle between 180° and 360°; practical compromise between linearity and efficiency	module20-abcs-of-pas
Class C PA		PA with conduction angle < 180°; efficiency → 100% as conduction angle → 0°; suitable only for constant-envelope signals	module20-abcs-of-pas
conduction angle		Fraction of a cycle (in degrees) during which the PA transistor conducts; determines PA class	module20-abcs-of-pas
power capacity	PC	Normalized output power Pout/(Vmax·Imax); 0.125 for both Class A and Class B; peaks at Class AB	module20-abcs-of-pas
envelope tracking	dynamic supply modulation	Technique adjusting PA supply voltage to follow signal envelope; maintains near-peak efficiency across PAR	module20-abcs-of-pas
polar modulation	envelope and phase modulation	PA technique separating AM (supply-modulated Class C) and PM (phase-modulated RF) paths	module20-abcs-of-pas
Barkhausen criterion	oscillation condition	Loop gain magnitude = 1 and phase = 0° (mod 360°) at oscillation frequency; necessary for sustained oscillation	module21-sinusoidal-oscillators-feedback-analysis
loop gain	Al, T	Product of forward gain and feedback factor in an oscillator; determines stability and oscillation amplitude	module21-sinusoidal-oscillators-feedback-analysis
LC tank oscillator		Oscillator using inductor-capacitor resonator as frequency-selective feedback element; Q determines phase noise	module21-sinusoidal-oscillators-feedback-analysis
Colpitts oscillator		Oscillator using capacitive voltage divider for feedback; feedback ratio 1/n = C1/(C1+C2); avoids squegging	module21-sinusoidal-oscillators-feedback-analysis
Pierce oscillator		CE or CC version of Colpitts oscillator; standard topology for crystal oscillators in CMOS	module21-sinusoidal-oscillators-feedback-analysis
phase noise		Random fluctuation in oscillator phase; appears as noise skirts around carrier; L(Δω) in dBc/Hz	module21-sinusoidal-oscillators-feedback-analysis
relaxation oscillator		Oscillator using RC charge/discharge between voltage thresholds; simpler but high phase noise	module21-sinusoidal-oscillators-feedback-analysis
ring oscillator		Odd number of inverter stages forming oscillator; period = 2·N·tpd; used in PLLs and clock generators	module21-sinusoidal-oscillators-feedback-analysis
squegging		Parasitic low-frequency oscillation in PA/oscillator bias circuitry; prevented by CE ≤ n·CT	module21-sinusoidal-oscillators-feedback-analysis
negative resistance oscillator	negative conductance oscillator	Oscillator analyzed by requiring active circuit negative conductance to cancel tank loss conductance G' = G	module22-negative-resistance-osc-differential-osc-vcos
cross-coupled pair	cross-coupled differential oscillator	CMOS differential pair with drain-gate cross connections generating negative conductance Gx = −gm/2	module22-negative-resistance-osc-differential-osc-vcos
VCO	voltage-controlled oscillator	Oscillator whose frequency is tuned by a control voltage via a varactor; key element in PLLs	module22-negative-resistance-osc-differential-osc-vcos
PN junction varactor	varactor diode	Reverse-biased PN junction used as voltage-variable capacitor; Cj = Cj0/(1−V/ψ0)^n	module22-negative-resistance-osc-differential-osc-vcos
MOS varactor	MOSCAP varactor	Gate capacitor varying between Cmin (depletion) and Cox (accumulation) with gate voltage; accumulation-mode preferred for high Q	module22-negative-resistance-osc-differential-osc-vcos
switched capacitor bank	discrete tuning bank	Array of capacitors switched by MOSFET switches for coarse VCO frequency tuning; optimal W/L balances Ron and Coff	module22-negative-resistance-osc-differential-osc-vcos
phase-locked loop	PLL	Feedback system locking VCO phase/frequency to a reference; contains VCO, divider, phase detector, loop filter	module22-negative-resistance-osc-differential-osc-vcos
frequency synthesizer		PLL-based circuit generating precise, tunable output frequency as integer multiple of crystal reference; fout = N·fref	module22-negative-resistance-osc-differential-osc-vcos
